predictor,n,mae,mae_low,mae_high,unsafe,unsafe_low,unsafe_high,conservative,conservative_low,conservative_high
CEBH,19,0.2194937918499198,0.20755579239343136,0.23216821826479048,0.5294240600106643,0.4883057570987019,0.5701233382492076,0.0,0.0,0.0
2D,19,0.015160029122640695,0.009335084920976112,0.02181140505659754,0.009583399394122361,0.001780876969129975,0.02105654183383353,0.02802872686907636,0.013604646630140002,0.04485454032908843
junction,19,0.06848799460596243,0.0471788981852999,0.09218280566972724,0.1712199865149061,0.11794724546324976,0.23045701417431808,0.0,0.0,0.0
nonbacktracking,19,0.3128474656627951,0.2917416443541066,0.3352314672674025,0.5911184210526317,0.5226973684210527,0.6644736842105264,0.0,0.0,0.0
