domain,instance,system_id,n_nodes,n_edges,mean_degree,pc_cebh,pc_dimension,pc_junction_anchor,pc,pc_low,pc_high,point_endpoint,bootstrap_endpoint_count,p_step,n_orders,n_bootstrap,mean_curve_p0,mean_curve_p1,exact_endpoint_slope,largest_component_bridges,method_version,input_hash,pc_nonbacktracking,nb_spectral_radius,nb_residual,realization_hash,seed,macro_region,pc_null,endpoint_count,n_null,null_gap,organization_residual
road,Accra,Accra,19183,25655,2.6747641140593235,0.5030786728370853,0.747729487429351,0.6330722187859009,0.725,0.72,0.73,False,0,0.0025,8192,1000,5.21294896522963e-05,1.0,0.3449929625188969,4507,canonical_v2_exact_endpoint,dfa0955a258a58843e7005452c6fe1a07d08f2c1926faaca7ec254a91c47449c,0.3763936223281964,2.656793156628064,1.5894265476493083e-09,dfa0955a258a58843e7005452c6fe1a07d08f2c1926faaca7ec254a91c47449c,20287373,Africa,0.52875,0,4,0.02567132716291476,0.19624999999999992
road,Addis Ababa,Addis Ababa,51078,72263,2.8295156427424724,0.482274189457948,0.7068347563760153,0.6295381309948231,0.7025,0.7025,0.71,False,0,0.0025,8192,1000,1.957790046595403e-05,1.0,0.2153764830259603,8210,canonical_v2_exact_endpoint,5b2688fdf9dba468b8e0ea2752d787418903b1e395993fc66c706fc505785cbc,0.3591630859224937,2.7842504956531,1.354733381606604e-09,5b2688fdf9dba468b8e0ea2752d787418903b1e395993fc66c706fc505785cbc,20300789,Africa,0.500625,0,4,0.01835081054205201,0.20187500000000003
road,Algiers,Algiers,21703,28885,2.661843984702576,0.5065855241235377,0.7513588367664878,0.6343744607047784,0.7425,0.74,0.7525000000000001,False,0,0.0025,8192,1000,4.607657927475463e-05,1.0,0.587614615490946,5523,canonical_v2_exact_endpoint,f2337da78ef2299bd72743cee9aa9ef286cd155a211feb23da8598c800015cdc,0.4012985353085895,2.4919104158479484,5.983746313259564e-10,f2337da78ef2299bd72743cee9aa9ef286cd155a211feb23da8598c800015cdc,20292105,Africa,0.531875,0,4,0.025289475876462242,0.21062500000000006
road,Amsterdam,Amsterdam,23201,32887,2.8349640101719755,0.466680857102313,0.7054763280323532,0.6160131045589082,0.675,0.67,0.685,False,0,0.0025,8192,1000,4.310159044868756e-05,1.0,0.478686263523124,4603,canonical_v2_exact_endpoint,94eb0da4e8a84316d5c10dc1994baf7252c5b3dbff678bdbcdac787b08618d8d,0.3518384788551165,2.84221328847829,2.245265225111259e-09,94eb0da4e8a84316d5c10dc1994baf7252c5b3dbff678bdbcdac787b08618d8d,20296958,Europe,0.49,0,4,0.023319142897686995,0.18500000000000005
road,Athens,Athens,54827,88593,3.231728892698853,0.4135569642707098,0.618863792850451,0.5933158856166071,0.6225,0.62,0.6275000000000001,False,0,0.0025,8192,1000,1.8239188720885696e-05,1.0,0.0939135827238404,3732,canonical_v2_exact_endpoint,cb5f090c0408b76d13f17ae643c4dc090849fa4fa114ea0a15f3d6cd5ff9a975,0.3499601670649745,2.8574680609703145,2.613592626575626e-09,cb5f090c0408b76d13f17ae643c4dc090849fa4fa114ea0a15f3d6cd5ff9a975,20289832,Europe,0.42874999999999996,0,4,0.01519303572929015,0.1937500000000001
road,Auckland,Auckland,12533,16775,2.67693289715152,0.5044505924099357,0.747123695976155,0.6340596868091446,0.75,0.7275,0.7525000000000001,False,0,0.0025,8192,1000,7.978935609989628e-05,1.0,0.4728317242479853,3012,canonical_v2_exact_endpoint,a1c23153a003d63a2f54cfe32bf607c36bac7aad5406555dfd4b32d8c58a79c2,0.4032651375017537,2.4797581219022464,3.00748924577383e-10,a1c23153a003d63a2f54cfe32bf607c36bac7aad5406555dfd4b32d8c58a79c2,20294299,Oceania,0.535,0,4,0.030549407590064304,0.21499999999999997
road,Bangkok,Bangkok,63366,71694,2.2628538964113245,0.5689051824695883,0.8838396518537117,0.6354902987811591,0.92,0.915,0.93,False,0,0.0025,8192,1000,1.5781333838336017e-05,1.0,2.2216172710917528,35521,canonical_v2_exact_endpoint,2c97486a7bd38d376db2087296f3bb4b56a0ad081b4a18a93b026104f682cfea,0.3801789772248296,2.63034007640202,2.5943112954378577e-10,2c97486a7bd38d376db2087296f3bb4b56a0ad081b4a18a93b026104f682cfea,20292003,Asia,0.594375,0,4,0.025469817530411665,0.32562500000000005
road,Barcelona,Barcelona,18674,28820,3.086644532505088,0.438814196750765,0.6479528105482304,0.6104361612714422,0.6275000000000001,0.62,0.635,False,0,0.0025,8192,1000,5.355039091785372e-05,1.0,0.1313055585305772,1606,canonical_v2_exact_endpoint,fd3e1e8319c9d2a226f1cc00c8d28949f672603801ea3f8aaa49c6c7af5c657f,0.3557026855707151,2.811336659984806,4.4915360398344396e-10,fd3e1e8319c9d2a226f1cc00c8d28949f672603801ea3f8aaa49c6c7af5c657f,20296786,Europe,0.465625,0,4,0.026810803249235016,0.16187500000000005
road,Bengaluru,Bengaluru,101357,136603,2.695482305119528,0.487624045120297,0.7419822405071631,0.6233785158269722,0.685,0.68,0.6975,False,0,0.0025,8192,1000,9.86611679509062e-06,1.0,0.4199019307990568,25827,canonical_v2_exact_endpoint,4f05b315e5de3f3278792023f58f9edbb4e583ba025760ffab14b2ba91993ebd,0.368820127160595,2.711348775075312,4.1373615190898626e-10,4f05b315e5de3f3278792023f58f9edbb4e583ba025760ffab14b2ba91993ebd,20297182,Asia,0.504375,0,4,0.016750954879703017,0.18062500000000004
road,Bogota,Bogota,40772,60476,2.966545668596096,0.4493951193413192,0.6741848005820491,0.6114151634982622,0.6525,0.65,0.66,False,0,0.0025,8192,1000,2.4526635926616303e-05,1.0,0.2128176199352496,5789,canonical_v2_exact_endpoint,8d77dcd71f2907217f5a0b1e714062beb4654b44b22e3de05279648077c67dd7,0.3597175111662048,2.779959187302276,1.0676033712062846e-09,8d77dcd71f2907217f5a0b1e714062beb4654b44b22e3de05279648077c67dd7,20289747,Latin America,0.468125,0,4,0.01872988065868081,0.18437499999999996
road,Boston,Boston,24819,35843,2.8883516660622908,0.4629981269779758,0.6924364590017578,0.6191020605979602,0.675,0.67,0.6775,False,0,0.0025,8192,1000,4.029171199484266e-05,1.0,0.2374390587856078,3788,canonical_v2_exact_endpoint,ab1c8ef8bea3a1b1d6c8460021acdda0c4c6c3f850f7873e37bc77953dbbad0e,0.3752036629386207,2.665219183010986,5.152027908592463e-10,ab1c8ef8bea3a1b1d6c8460021acdda0c4c6c3f850f7873e37bc77953dbbad0e,20289981,North America,0.486875,0,4,0.02387687302202418,0.18812500000000004
road,Brisbane,Brisbane,25339,35174,2.776273728244998,0.4911197989388439,0.7203900608403935,0.6319786826973909,0.71,0.705,0.71,False,0,0.0025,8192,1000,3.946485654524646e-05,1.0,0.392635857768657,5021,canonical_v2_exact_endpoint,6370c1a0ef0082186e72fcb0cd4d0fdfbc158a565f99d0ed55bc1e88b32f1b67,0.3778586238374735,2.646492462826852,3.4234637202362667e-10,6370c1a0ef0082186e72fcb0cd4d0fdfbc158a565f99d0ed55bc1e88b32f1b67,20294317,Oceania,0.515,0,4,0.023880201061156126,0.19499999999999995
road,Buenos Aires,Buenos Aires,21642,37472,3.462896220312356,0.3806157377781841,0.5775512382578992,0.5635553018890295,0.555,0.555,0.5625,False,0,0.0025,8192,1000,4.620645042047871e-05,1.0,0.0613159597079752,995,canonical_v2_exact_endpoint,9d9d15a5d2f4fbba12698a26633ec7b121490021a8df53eda0a4066573a44ab9,0.332676784442898,3.005920601506968,1.678508380287702e-09,9d9d15a5d2f4fbba12698a26633ec7b121490021a8df53eda0a4066573a44ab9,20304440,Latin America,0.403125,0,4,0.02250926222181593,0.15187500000000004
road,Cairo,Cairo,118235,163341,2.762988962659111,0.4905812814983452,0.7238537782920393,0.6313273686475291,0.6975,0.6950000000000001,0.7000000000000001,False,0,0.0025,8192,1000,8.457732481921597e-06,1.0,0.249942910305747,22432,canonical_v2_exact_endpoint,1dd01752b9f1dbd0c8474162d1793e9ce47b810d0108b2f780896d0a7c7278ca,0.3564738633416712,2.8052547545162523,1.011285538674221e-09,1dd01752b9f1dbd0c8474162d1793e9ce47b810d0108b2f780896d0a7c7278ca,20287559,Africa,0.505625,0,4,0.015043718501654813,0.19187500000000002
road,Casablanca,Casablanca,36942,55764,3.019002761084944,0.4598827284198025,0.662470411017861,0.6240609680257581,0.665,0.6625,0.665,False,0,0.0025,8192,1000,2.7069460234962907e-05,1.0,0.0985869741757349,2772,canonical_v2_exact_endpoint,f8c7a1f9e2b886aa40e9fa56bf4a3568975e4cdbaf1739150fb45b89f9b8490c,0.3671967002592981,2.7233360193428866,6.350196604403252e-10,f8c7a1f9e2b886aa40e9fa56bf4a3568975e4cdbaf1739150fb45b89f9b8490c,20299089,Africa,0.481875,0,4,0.02199227158019751,0.18312500000000004
road,Chennai,Chennai,42444,56880,2.6802374893977947,0.498448919501551,0.7462025316455696,0.6299340015197303,0.7225,0.7175,0.7225,False,0,0.0025,8192,1000,2.356045613043068e-05,1.0,0.3590377909716332,10159,canonical_v2_exact_endpoint,7cfca29680ba8cef2af8b744e09858e92d0014be372a6b8771952f4c230b3e17,0.3984179127616969,2.5099273099152133,1.304840875964467e-09,7cfca29680ba8cef2af8b744e09858e92d0014be372a6b8771952f4c230b3e17,20291901,Asia,0.52,0,4,0.021551080498449005,0.2025
road,Chicago,Chicago,13260,21830,3.2926093514328807,0.3959947031400221,0.6074209803023363,0.5713408669791303,0.6,0.5975,0.6025,False,0,0.0025,8192,1000,7.541478129713421e-05,1.0,0.0862745098039215,1015,canonical_v2_exact_endpoint,6e54a03ece4f9e8613bb187ade95bb2ed96d1aa8c0ad94f557dd8312a3ff7df6,0.3513664304485737,2.8460317017859245,1.3787378179880796e-09,6e54a03ece4f9e8613bb187ade95bb2ed96d1aa8c0ad94f557dd8312a3ff7df6,20291842,North America,0.42374999999999996,0,4,0.02775529685997785,0.17625000000000002
road,Dakar,Dakar,28624,43129,3.01348518725545,0.4600377595972308,0.6636833684991537,0.6241310313438612,0.6825,0.6824375,0.6900000000000001,False,0,0.0025,8192,1000,3.493571827836781e-05,1.0,0.1096632196757965,2340,canonical_v2_exact_endpoint,d135e6c58b836e7913965c30226322d34eaf4bd8c574de7659ea7d8998805576,0.3565314582686812,2.8048015870913763,4.5622079795025156e-10,d135e6c58b836e7913965c30226322d34eaf4bd8c574de7659ea7d8998805576,20287458,Africa,0.481875,0,4,0.021837240402769187,0.200625
road,Dar es Salaam,Dar es Salaam,22312,29826,2.6735389028325565,0.5075988359230076,0.7480721518138537,0.6359262790285476,0.7625000000000001,0.76,0.77,False,0,0.0025,8192,1000,4.481893151667265e-05,1.0,0.4364915740408748,5282,canonical_v2_exact_endpoint,3dbe8788844f68a6baa9d7d70471afabf3c868af462c46dc55b3dd77ad295122,0.3761808633566279,2.6582957758060584,2.244819450932378e-09,3dbe8788844f68a6baa9d7d70471afabf3c868af462c46dc55b3dd77ad295122,20306260,Africa,0.536875,0,4,0.029276164076992406,0.22562500000000008
