domain,instance,system_id,scenario,auc_change,endpoint_count,scenario_auc,random_auc
power,GBnetwork,GB,targeted,-0.197436140247736,0,0.1053838010190991,0.3028199412668351
power,case1354pegase,PEGASE,targeted,-0.1379056919572435,0,0.2153318735045392,0.3532375654617827
power,case1888rte,RTE,targeted,-0.121188725772729,0,0.2151019253223864,0.3362906510951154
power,case2848rte,RTE,targeted,-0.1403107428111922,0,0.1869219518146622,0.3272326946258544
power,case2869pegase,PEGASE,targeted,-0.1179758121914801,0,0.1997423269038329,0.317718139095313
power,case300,IEEE300,targeted,-0.1289270404968013,0,0.2097188264058679,0.3386458669026692
power,case3120sp,Polish,targeted,-0.0348650945685064,0,0.2489757770956875,0.2838408716641939
power,case6470rte,RTE,targeted,-0.1633598131353452,0,0.1677834545831511,0.3311432677184964
power,case9241pegase,PEGASE,targeted,-0.1699164083437429,0,0.1553496961200702,0.3252661044638131
power,case_illinois200,Illinois,targeted,-0.0578825095040457,0,0.2719285714285714,0.3298110809326171
rail,Berlin,Berlin,localized,0.1443586531650844,1,0.32901902955328266,0.1846603763881983
rail,Berlin,Berlin,targeted,-0.0978793018337054,3,0.0867810745544929,0.1846603763881983
rail,Hamburg,Hamburg,localized,0.19772441533676655,0,0.38509301449483346,0.1873685991580669
rail,Hamburg,Hamburg,targeted,-0.1040301008443471,2,0.0833384983137198,0.1873685991580669
rail,Madrid,Madrid,localized,0.10330826458629849,0,0.2650891835756713,0.1617809189893727
rail,Madrid,Madrid,targeted,-0.0960424226573468,3,0.0657384963320259,0.1617809189893727
rail,Milan,Milan,localized,0.0436976024443569,0,0.2780584514776202,0.2343608490332632
rail,Milan,Milan,targeted,-0.1015455668610469,0,0.1328152821722163,0.2343608490332632
rail,Osaka,Osaka,localized,0.08345389479484039,0,0.1785089174183287,0.0950550226234882
rail,Osaka,Osaka,targeted,-0.0381561802669579,0,0.0568988423565303,0.0950550226234882
rail,Vienna,Vienna,localized,0.18125620885795865,0,0.3671294503542061,0.1858732414962474
rail,Vienna,Vienna,targeted,-0.0992035490014805,0,0.0866696924947669,0.1858732414962474
road,Bengaluru,Bengaluru,localized,0.25421494023986957,0,0.5069811081448655,0.2527661679049959
road,Bengaluru,Bengaluru,targeted,-0.1720496859921789,0,0.080716481912817,0.2527661679049959
road,Dar es Salaam,Dar es Salaam,localized,0.23726020688367372,0,0.47100343309469095,0.2337432262110171
road,Dar es Salaam,Dar es Salaam,targeted,-0.1600467257638316,0,0.0736965004471855,0.2337432262110171
road,Ho Chi Minh City,Ho Chi Minh City,localized,0.2634802348537606,0,0.48271684064603637,0.2192366057922758
road,Ho Chi Minh City,Ho Chi Minh City,targeted,-0.1403217427964029,0,0.0789148629958729,0.2192366057922758
road,Hong Kong,Hong Kong,localized,0.1620960616213783,0,0.4615886626877608,0.2994926010663825
road,Hong Kong,Hong Kong,targeted,-0.1315167644693478,0,0.1679758365970347,0.2994926010663825
road,Los Angeles,Los Angeles,localized,0.14629008785304853,0,0.49801658683868155,0.3517264989856329
road,Los Angeles,Los Angeles,targeted,-0.1179480563593615,0,0.2337784426262714,0.3517264989856329
road,Miami,Miami,localized,0.12439134663030815,0,0.47171075066937135,0.3473194040390631
road,Miami,Miami,targeted,-0.1417473449538123,0,0.2055720590852508,0.3473194040390631
road,Montreal,Montreal,localized,0.1485012938787127,0,0.48809591072336056,0.3395946168446478
road,Montreal,Montreal,targeted,-0.1781327518538342,0,0.1614618649908136,0.3395946168446478
road,Prague,Prague,localized,0.21749473612782816,0,0.4672349192273745,0.2497401830995462
road,Prague,Prague,targeted,-0.1327407447536233,0,0.1169994383459229,0.2497401830995462
road,Seoul,Seoul,localized,0.18147765560034318,0,0.4910065497576765,0.3095288941573332
road,Seoul,Seoul,targeted,-0.1812984485438007,0,0.1282304456135325,0.3095288941573332
road,Tel Aviv,Tel Aviv,localized,0.19093544372167026,0,0.4764016450829399,0.2854662013612696
road,Tel Aviv,Tel Aviv,targeted,-0.1538254270297146,0,0.131640774331555,0.2854662013612696
road,Tunis,Tunis,localized,0.18632515755742868,0,0.46058050520827554,0.2742553476508468
road,Tunis,Tunis,targeted,-0.1890368607733853,0,0.0852184868774615,0.2742553476508468
road,Warsaw,Warsaw,localized,0.2081799871387913,0,0.4860852244904963,0.2779052373517049
road,Warsaw,Warsaw,targeted,-0.1398551308685491,0,0.1380501064831558,0.2779052373517049
water,Net3,Net3,targeted,-0.0429397625573265,0,0.2613705275924802,0.3043102901498067
water,Net6,Net6,targeted,-0.0376392323928124,0,0.0882964380074501,0.1259356704002625
water,ky10,ky10,targeted,-0.0313958385716194,3,0.1365136113678023,0.1679094499394217
water,ky4,ky4,targeted,-0.073980590179149,0,0.1226926614042194,0.1966732515833684
