target,model_group,macro_region,n_region,leave_region_out_r2_region,leave_region_out_mae_region,leave_region_out_spearman_r_region
road_gap,M0_size,Africa,12,-0.43338199156557233,0.023437518784646987,0.4125874125874127
road_gap,M0_size,Asia,19,0.2087696231452717,0.02001200000765077,0.3245614035087719
road_gap,M0_size,Europe,11,0.21811449652944892,0.017757098319365037,0.7636363636363637
road_gap,M0_size,Latin America,10,0.4233951976737801,0.010735982209150955,0.5393939393939393
road_gap,M0_size,Middle East,5,-4.282215471983402,0.022986324329004222,-0.6
road_gap,M0_size,North America,10,-3.370779715539941,0.02127993770455721,0.49090909090909085
road_gap,M0_size,Oceania,4,-0.7624956419063107,0.009475378881648351,-0.39999999999999997
road_gap,M1_degree,Africa,12,0.31055412327161525,0.01632774176271531,0.7062937062937064
road_gap,M1_degree,Asia,19,0.35296596225821997,0.018497511594014627,0.4
road_gap,M1_degree,Europe,11,0.2605725722581136,0.017746038766216145,0.3727272727272728
road_gap,M1_degree,Latin America,10,0.6272878971525047,0.007368458190626476,0.8424242424242423
road_gap,M1_degree,Middle East,5,-1.7363604302885651,0.01588088117845136,-0.39999999999999997
road_gap,M1_degree,North America,10,0.15502241229620994,0.008039125696993369,0.5151515151515151
road_gap,M1_degree,Oceania,4,-2.1560681416117995,0.015133462621141076,-0.39999999999999997
road_gap,M2_degree_edge_scale,Africa,12,0.39587197371748406,0.012639502525282441,0.7482517482517484
road_gap,M2_degree_edge_scale,Asia,19,0.3245807288560639,0.01920705834173224,0.4245614035087719
road_gap,M2_degree_edge_scale,Europe,11,0.41682753764471236,0.01568928810939318,0.5818181818181819
road_gap,M2_degree_edge_scale,Latin America,10,-0.5237263379357704,0.016344682966346273,0.0303030303030303
road_gap,M2_degree_edge_scale,Middle East,5,-2.2195713736320446,0.02098099578801536,-0.7
road_gap,M2_degree_edge_scale,North America,10,-0.6950810682919195,0.011161041491507914,0.5393939393939393
road_gap,M2_degree_edge_scale,Oceania,4,-1.8541670097423677,0.014053830006339516,-0.19999999999999998
road_gap,M3_embedded_form,Africa,12,0.35757655421849177,0.015506134387799896,0.6363636363636365
road_gap,M3_embedded_form,Asia,19,0.42792698800796036,0.017213807634561817,0.6578947368421053
road_gap,M3_embedded_form,Europe,11,0.5189332333496007,0.014315700037813307,0.7363636363636363
road_gap,M3_embedded_form,Latin America,10,-0.045054447207995674,0.014211422777065783,0.3696969696969697
road_gap,M3_embedded_form,Middle East,5,-1.7212497530839985,0.0192430538430547,-0.7
road_gap,M3_embedded_form,North America,10,-0.9692935949870336,0.011039541609462692,0.5393939393939393
