city,country,macro_region,n_edges,short_iterations,rho_nb_short,pc_nb_short,short_converged,runtime_seconds,status,pc_nb_long,rho_nb_long,long_iterations,long_converged,pc_nb_abs_delta_short_vs_long,rho_nb_abs_delta_short_vs_long
Panama City,Panama,Latin America,12302,160,2.692900177036166,0.3713468507030255,False,1.0452828407287598,pass,0.3713437304833805,2.6929228041585453,387,True,3.120219644991984e-06,2.262712237932618e-05
Hong Kong,China,Asia,13245,160,2.581123339154305,0.3874282119070087,False,0.9772365093231201,pass,0.3874249397681511,2.5811451389743665,237,True,3.2721388575907007e-06,2.1799820061563224e-05
Auckland,New Zealand,Oceania,16775,160,2.4795884561764363,0.4032927309001976,False,1.3034212589263916,pass,0.4032652317989951,2.479757542049753,307,True,2.749910120253274e-05,0.00016908587331654346
Lagos,Nigeria,Africa,17952,160,2.6886954261295326,0.37192758624934086,False,1.1072323322296143,pass,0.3719276566324679,2.6886949173241548,237,True,7.038312704876759e-08,5.088053778301571e-07
Toronto,Canada,North America,18430,160,2.650888491102396,0.3772320123447142,False,1.615100383758545,pass,0.3770532815225108,2.6521450654456062,470,True,0.00017873082220343228,0.0012565743432100263
San Francisco,United States,North America,18546,160,2.9930834684904153,0.33410361272161837,False,1.5967857837677002,pass,0.3341022911098181,2.993095308260858,214,True,1.3216118002756794e-06,1.1839770442723108e-05
Singapore,Singapore,Asia,19430,160,2.447016828583927,0.40866085934467955,False,1.5439512729644775,pass,0.4082911651582906,2.4492325216302677,640,False,0.0003696941863889358,0.0022156930463408386
Rio de Janeiro,Brazil,Latin America,20774,160,2.6881375773441407,0.37200476955796,False,1.470184087753296,pass,0.3720008582230763,2.6881658412743064,242,True,3.9113348836994355e-06,2.826393016563955e-05
Chicago,United States,North America,21830,160,2.841494476325403,0.35192748334784435,False,2.0417470932006836,pass,0.3514174185227428,2.8456187635880736,640,False,0.0005100648251015749,0.004124287262670556
Montevideo,Uruguay,Latin America,22450,160,2.8993034056219806,0.34491043540352495,False,1.3662590980529785,pass,0.3445524519614426,2.9023157266978488,640,False,0.00035798344208237687,0.0030123210758681296
Dubai,United Arab Emirates,Middle East,22720,160,2.8284439581413805,0.3535512864313979,False,1.4378981590270996,pass,0.3531916248640121,2.831324214964117,640,False,0.0003596615673857606,0.0028802568227366265
Vancouver,Canada,North America,22751,160,2.8012186593352943,0.35698748352522097,False,1.979407548904419,pass,0.3566908471206035,2.803548249338403,503,True,0.00029663640461746743,0.002329590003108617
Warsaw,Poland,Europe,24341,160,2.4960402835083846,0.40063455970927675,False,2.1274056434631348,pass,0.3999777761203059,2.5001389069657174,640,False,0.0006567835889708662,0.004098623457332806
Taipei,Taiwan,Asia,24900,160,2.8911004872605046,0.3458890496565069,True,1.8914101123809814,pass,0.3458890496565069,2.8911004872605046,117,True,0.0,0.0
Mumbai,India,Asia,24999,160,2.676018933819782,0.3736894337188369,False,1.6142163276672363,pass,0.373565043908325,2.676909995479678,428,True,0.00012438981051188236,0.000891061659896053
Accra,Ghana,Africa,25655,160,2.6503756043019293,0.3773050123072596,False,2.104998826980591,pass,0.3763940600682777,2.6567900668214595,640,False,0.0009109522389819102,0.006414462519530151
Vienna,Austria,Europe,26142,160,3.144202195407684,0.3180457037593086,False,2.231335163116455,pass,0.3180432953733044,3.14422600490995,236,True,2.4083860041823613e-06,2.3809502265770277e-05
Seattle,United States,North America,26501,160,2.842818946890018,0.35176352018266177,True,2.4062769412994385,pass,0.3517635201826617,2.842818946890018,154,True,5.551115123125783e-17,0.0
Prague,Czechia,Europe,27325,160,2.650411559566169,0.3772998938186356,False,2.6738038063049316,pass,0.377024381570581,2.652348359632,640,False,0.00027551224805461016,0.0019368000658310791
Nairobi,Kenya,Africa,28157,160,2.597893704577714,0.38492721940005215,False,2.573697566986084,pass,0.3848259042796937,2.598577665585615,457,True,0.00010131512035843615,0.0006839610079012459
Miami,United States,North America,28736,160,2.8551529605681076,0.35024393222036826,False,2.5595993995666504,pass,0.3498989962593141,2.857967615485495,640,False,0.00034493596105417135,0.0028146549173873048
Barcelona,Spain,Europe,28820,160,2.8113338571162014,0.35570304020233867,False,2.4347965717315674,pass,0.3557023546199905,2.811339275693959,189,True,6.855823481699552e-07,5.418577757598797e-06
Algiers,Algeria,Africa,28885,160,2.488360464220836,0.40187103692516,False,2.464489221572876,pass,0.401298830944115,2.491908580065762,640,False,0.0005722059810450153,0.003548115844925981
Dar es Salaam,Tanzania,Africa,29826,160,2.6582034876643412,0.37619392369342675,False,2.5818443298339844,pass,0.3761809583614119,2.65829510445146,355,True,1.2965332014835962e-05,9.161678711855359e-05
Tel Aviv,Israel,Middle East,30263,160,2.5082001464829236,0.39869226600685403,False,2.269071578979492,pass,0.3986564392632739,2.5084255552174763,343,True,3.582674358015847e-05,0.00022540873455278998
Sydney,Australia,Oceania,31013,160,2.675983654560083,0.3736943603134207,True,2.6274397373199463,pass,0.3736943603134207,2.675983654560083,146,True,0.0,0.0
Montreal,Canada,North America,32065,160,2.8135612431657444,0.3554214440609889,False,3.0076651573181152,pass,0.3553238936772701,2.8143336763844813,458,True,9.755038371883629e-05,0.0007724332187368788
Johannesburg,South Africa,Africa,32632,160,2.7807645947520867,0.35961332429477116,False,2.497282028198242,pass,0.3595874492525342,2.780964691839707,327,True,2.58750422369447e-05,0.00020009708762014355
Amsterdam,Netherlands,Europe,32887,160,2.840154027693045,0.35209358022468384,False,2.8876240253448486,pass,0.3518385398802002,2.8422127955069856,508,True,0.000255040344483648,0.002058767813940765
New York City,United States,North America,34130,160,2.9332594815148667,0.3409176741102888,False,3.1196181774139404,pass,0.3408420467320077,2.933910324703177,295,True,7.562737828109567e-05,0.0006508431883101018
Los Angeles,United States,North America,34611,160,2.834476452370949,0.35279883844634935,False,3.0961344242095947,pass,0.3524439404217414,2.837330665419812,640,False,0.0003548980246079747,0.002854213048862686
Brisbane,Australia,Oceania,35174,160,2.6464922624075977,0.3778586524527634,True,3.4704153537750244,pass,0.3778586524527634,2.6464922624075977,142,True,0.0,0.0
Quito,Ecuador,Latin America,35253,160,2.7258799234752105,0.366854017078311,False,2.8392465114593506,pass,0.3668531563351949,2.7258863191742493,200,True,8.607431161156143e-07,6.3956990388192025e-06
Boston,United States,North America,35843,160,2.6649782489887084,0.3752375841639513,False,3.567319631576538,pass,0.3752038203768264,2.6652180646659605,309,True,3.376378712488526e-05,0.00023981567725206432
Lisbon,Portugal,Europe,36745,160,2.693693094417124,0.3712375407846473,False,2.913391590118408,pass,0.3711949924576928,2.694001859720604,434,True,4.254832695455013e-05,0.00030876530348011855
Manila,Philippines,Asia,36895,160,2.7790913190886735,0.3598298455078916,False,2.941241979598999,pass,0.3597422940832757,2.779767673824065,208,True,8.755142461591703e-05,0.0006763547353916266
Rome,Italy,Europe,37062,160,2.7290866216573426,0.3664229607313496,False,3.1750898361206055,pass,0.3664103236942841,2.729180744466015,299,True,1.2637037065499346e-05,9.41228086723811e-05
Buenos Aires,Argentina,Latin America,37472,160,3.005255887774955,0.33275036713774964,False,2.0799026489257812,pass,0.3326768827242046,3.005919713480719,366,True,7.348441354504409e-05,0.0006638257057640651
Milan,Italy,Europe,38172,160,2.712042332129886,0.3687258079097372,False,3.0539798736572266,pass,0.3687249294341902,2.712048793485441,204,True,8.784755469726235e-07,6.4613555550430135e-06
Hanoi,Vietnam,Asia,39886,160,2.9133566487555718,0.34324668091259813,True,2.9356350898742676,pass,0.3432466809125981,2.913356648755572,74,True,5.551115123125783e-17,4.440892098500626e-16
Kampala,Uganda,Africa,41391,160,2.469321743932254,0.4049695032481094,True,3.8721506595611572,pass,0.4049695032481094,2.469321743932254,112,True,0.0,0.0
Dakar,Senegal,Africa,43129,160,2.8043347419070863,0.3565908110242041,False,2.9920294284820557,pass,0.3565317631292726,2.8047991887820003,640,False,5.9047894931496536e-05,0.00046444687491398184
Dhaka,Bangladesh,Asia,47996,160,2.6602229600177143,0.37590834115398397,False,3.8210041522979736,pass,0.3759001849181792,2.6602806812070767,265,True,8.156235804746004e-06,5.772118936242521e-05
Kuala Lumpur,Malaysia,Asia,50999,160,2.5517299190819567,0.39189100402905214,False,4.120997667312622,pass,0.3918899894838175,2.5517365251333968,210,True,1.0145452346566053e-06,6.606051440094518e-06
Melbourne,Australia,Oceania,51621,160,2.6583355353204605,0.3761752369907099,False,4.5163185596466064,pass,0.3760990766195062,2.6588738504446927,469,True,7.616037120372621e-05,0.0005383151242321915
Ho Chi Minh City,Vietnam,Asia,51958,160,2.9219623287824916,0.34223576058787686,True,3.9200003147125244,pass,0.3422357605878768,2.921962328782492,83,True,5.551115123125783e-17,4.440892098500626e-16
Paris,France,Europe,55181,160,2.7933694395339717,0.35799059939842176,True,4.494091987609863,pass,0.3579905993984217,2.793369439533972,108,True,5.551115123125783e-17,4.440892098500626e-16
Casablanca,Morocco,Africa,55764,160,2.7233359576950815,0.3671967085714825,True,4.412865161895752,pass,0.3671967085714825,2.723335957695081,135,True,0.0,4.440892098500626e-16
Chennai,India,Asia,56880,160,2.5098034501914963,0.3984375748322844,False,3.8635895252227783,pass,0.3984179559230881,2.5099270380099115,327,True,1.961890919632836e-05,0.00012358781841514954
Bogota,Colombia,Latin America,60476,160,2.779560555697074,0.3597691001731798,False,4.517269849777222,pass,0.3597175824046116,2.779958636759647,346,True,5.151776856821e-05,0.00039808106257277487
London,United Kingdom,Europe,62602,160,2.585583270229749,0.38675992821965555,False,5.933485984802246,pass,0.3867522978719377,2.5856342819483964,252,True,7.630347717835217e-06,5.1011718647409054e-05
Jakarta,Indonesia,Asia,65445,160,2.5917150797734423,0.38584488233460296,True,5.681002140045166,pass,0.3858448823346029,2.5917150797734423,133,True,5.551115123125783e-17,0.0
Tunis,Tunisia,Africa,67495,160,2.6335347710755683,0.3797177887997232,False,4.942610025405884,pass,0.3797013841614978,2.633648550447927,316,True,1.6404638225386847e-05,0.00011377937235845792
Bangkok,Thailand,Asia,71694,160,2.6303399651598216,0.3801789933033387,True,6.008435487747192,pass,0.3801789933033387,2.6303399651598216,96,True,0.0,0.0
Addis Ababa,Ethiopia,Africa,72263,160,2.7840898964717464,0.3591838041103815,False,5.226611137390137,pass,0.3591630795797219,2.7842505448225903,640,False,2.072453065959934e-05,0.00016064835084383944
Istanbul,Turkey,Middle East,72909,160,2.609239516197128,0.3832534321944747,False,5.462506055831909,pass,0.3827002356651567,2.6130111946807086,640,False,0.0005531965293180119,0.0037716784835808426
Lima,Peru,Latin America,75796,160,2.815098149379774,0.3552274012969392,False,5.359410762786865,pass,0.3549820738031957,2.8170436588141805,640,False,0.00024532749374350793,0.0019455094344063006
Seoul,South Korea,Asia,76060,160,2.692205837303378,0.3714426237934467,False,6.080822229385376,pass,0.3710186529646871,2.695282277614161,640,False,0.00042397082875961223,0.003076440310783024
Sao Paulo,Brazil,Latin America,77333,160,2.7640383695998234,0.3617894783945346,False,6.561649560928345,pass,0.3617716089407452,2.7641748973280835,298,True,1.7869453789398637e-05,0.00013652772826011628
Karachi,Pakistan,Asia,78992,160,2.960794011873735,0.3377472380684637,False,4.930171728134155,pass,0.3377403982969093,2.960853972585461,249,True,6.839771554356666e-06,5.99607117259815e-05
Riyadh,Saudi Arabia,Middle East,79423,160,3.1699426728367,0.3154631181721421,False,4.619594097137451,pass,0.3154631058129293,3.169942797028707,164,True,1.2359212819834653e-08,1.2419200690061416e-07
Delhi,India,Asia,85866,160,2.662308551397128,0.3756138631922357,False,5.966882705688477,pass,0.3754765849270238,2.6632819199481004,640,False,0.00013727826521192643,0.0009733685509725198
Santiago,Chile,Latin America,88302,160,2.8566348938571537,0.35006223656736063,False,7.05482816696167,pass,0.3500619453269389,2.8566372704866683,511,True,2.912404217236819e-07,2.3766295145222216e-06
Athens,Greece,Europe,88593,160,2.8543681003715005,0.35034023813181225,False,5.575733661651611,pass,0.3499970537207817,2.857166908604245,640,False,0.0003431844110305393,0.0027988082327445873
Mexico City,Mexico,Latin America,90635,160,3.008973614243971,0.3323392386248153,False,5.607562303543091,pass,0.3323389992842675,3.008975781216233,188,True,2.3934054776963976e-07,2.166972262074296e-06
Tokyo,Japan,Asia,98086,160,2.7707604781060273,0.3609117453138919,False,8.177798986434937,pass,0.3606810277673993,2.772532855941879,417,True,0.00023071754649262033,0.0017723778358518238
Tehran,Iran,Middle East,108037,160,2.7171602739789362,0.36803128971690247,False,7.5358500480651855,pass,0.3678399746122325,2.718573480367854,351,True,0.0001913151046699646,0.0014132063889178426
Hyderabad,India,Asia,132094,160,2.7219336574739224,0.36738588291973484,False,8.506865978240967,pass,0.3669941813946973,2.7248388413126183,640,False,0.0003917015250375355,0.0029051838386959794
Bengaluru,India,Asia,136603,160,2.7113459526793444,0.36882051108668107,False,9.740980386734009,pass,0.3688201254428132,2.7113487877034337,396,True,3.856438678950802e-07,2.835024089264948e-06
Osaka,Japan,Asia,138690,160,2.9214096249721786,0.34230050844359877,False,10.099941968917847,pass,0.3416671602582822,2.9268250400303413,556,True,0.0006333481853165734,0.005415415058162676
Cairo,Egypt,Africa,163341,160,2.805258047615261,0.3564734448761661,False,10.524111270904541,pass,0.356473857815712,2.805254798002536,640,False,4.1293954589072257e-07,3.2496127246872675e-06
