family,n_nodes,n_edges,mean_degree,pc,pc_k_over_2,pc_cebh,cebh_gap,chi_chord
delaunay_rep0,20000,59969,5.9969,0.325,0.9744962500000001,0.18841882020265496,0.13658117979734505,0.0
gabriel_rep0,20000,39738,3.9738,0.525,1.0431225000000002,0.30849849779910105,0.21650150220089898,0.0
rng_rep0,20000,25396,2.5396,0.775,0.984095,0.5893027033298527,0.18569729667014734,0.0
voronoi_rep0,39469,58939,2.9865970761863743,0.675,1.0079765132129013,0.502151261363346,0.17284873863665406,0.0
square_keep1.0_rep0,19881,39480,3.971631205673759,0.5,0.9929078014184397,0.33571999523801427,0.16428000476198573,0.0
square_keep0.85_rep0,19870,33590,3.380976346250629,0.6,1.0142929038751887,0.3943506539247223,0.20564934607527768,0.0
square_keep0.7_rep0,19687,27568,2.8006298572662165,0.725,1.0152283232590034,0.48038754421733154,0.24461245578266844,0.0
delaunay_rep1,20000,59966,5.9966,0.325,0.9744475,0.18860672701310305,0.13639327298689696,0.0
gabriel_rep1,20000,39693,3.9693,0.525,1.04194125,0.3091282913950609,0.21587170860493915,0.0
rng_rep1,20000,25463,2.5463,0.775,0.98669125,0.5884813607894798,0.18651863921052025,0.0
voronoi_rep1,39497,58995,2.9873154923158722,0.675,1.008218978656607,0.5020637419684268,0.1729362580315732,0.0
square_keep1.0_rep1,19881,39480,3.971631205673759,0.5,0.9929078014184397,0.33571999523801427,0.16428000476198573,0.0
square_keep0.85_rep1,19871,33688,3.3906698203412007,0.6,1.0172009461023601,0.39396561805636765,0.20603438194363233,0.0
square_keep0.7_rep1,19706,27580,2.799147467776312,0.725,1.014690957068913,0.4802953520366404,0.24470464796335956,0.0
