graph,stage_target_chi,chi_chord,chi_added,accepted_swaps,swaps_per_edge,pc,mean_degree,seconds
tehran_iran,0.03726426862058451,0.03726426862058451,0.0,0,0.0,0.725,2.5283137877867587,0.0
tehran_iran,0.04726426862058451,0.04862926996036109,0.011365001339776581,292,0.002698032838385985,0.7,2.5283137877867587,5.7
tehran_iran,0.05726426862058451,0.05826642150295213,0.02100215288236762,535,0.004943313590878432,0.7,2.5283137877867587,11.0
tehran_iran,0.0872642686205845,0.0907814131408983,0.05351714452031379,1390,0.012843375497796298,0.7,2.5283137877867587,18.2
tehran_iran,0.13726426862058452,0.14286638269563048,0.10560211407504597,2779,0.025677511157104975,0.7,2.5283137877867587,27.0
tehran_iran,0.23726426862058453,0.24915224481876055,0.21188797619817604,5771,0.053323107912073696,0.7,2.5283137877867587,40.8
bengaluru_india,0.01460901133003484,0.01460901133003484,0.0,0,0.0,0.7,2.6959756109592825,0.0
bengaluru_india,0.02460901133003484,0.025880493017536668,0.011271481687501828,362,0.0026495301109582224,0.7,2.6959756109592825,7.2
bengaluru_india,0.03460901133003484,0.03554176303539538,0.02093275170536054,662,0.004845273296835202,0.675,2.6959756109592825,14.4
bengaluru_india,0.06460901133003484,0.06802412389846883,0.053415112568433995,1696,0.012413268144157859,0.675,2.6959756109592825,23.7
bengaluru_india,0.11460901133003484,0.12015838627514126,0.10554937494510643,3410,0.024958280879468338,0.7,2.6959756109592825,35.4
bengaluru_india,0.21460901133003485,0.22585414409930615,0.21124513276927132,7102,0.05198056035366103,0.65,2.6959756109592825,54.4
osaka_japan,0.03825034229300281,0.03825034229300281,0.0,0,0.0,0.625,3.0017304780445597,0.0
osaka_japan,0.04825034229300281,0.04945593427974346,0.011205591986740648,359,0.0025870144843986452,0.625,3.0017304780445597,7.4
osaka_japan,0.05825034229300281,0.05934279743460402,0.021092455141601213,688,0.0049578439143907185,0.625,3.0017304780445597,14.9
osaka_japan,0.08825034229300281,0.09184261728039202,0.05359227498738921,1769,0.01274771204150753,0.625,3.0017304780445597,24.7
osaka_japan,0.13825034229300281,0.143914390718455,0.10566404842545218,3520,0.02536571305037112,0.625,3.0017304780445597,36.9
osaka_japan,0.23825034229300282,0.25001801542120056,0.21176767312819775,7241,0.05217986596526627,0.6,3.0017304780445597,57.9
delaunay20k,0.0,0.0,0.0,0,0.0,0.325,5.997,0.0
delaunay20k,0.01,0.011105552776388194,0.011105552776388194,149,0.002484575621143905,0.325,5.997,6.3
delaunay20k,0.02,0.021043855260963817,0.021043855260963817,292,0.004869101217275304,0.325,5.997,12.1
delaunay20k,0.05,0.052893113223278304,0.052893113223278304,731,0.012189428047357011,0.325,5.997,23.2
delaunay20k,0.1,0.10501917625479407,0.10501917625479407,1449,0.02416208104052026,0.325,5.997,40.8
delaunay20k,0.2,0.21090545272636319,0.21090545272636319,2993,0.04990828747707187,0.325,5.997,77.8
