city,country,macro_region,replicate,swap_fraction,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null,pc_geometry_null_ci_low,pc_geometry_null_ci_high,geometry_null_gap,road_minus_geometry,geometry_fraction_of_road_gap,remaining_fraction_after_geometry,threshold_boundary_hit,runtime_seconds,accepted_swaps,attempted_swaps,acceptance_rate,accepted_swaps_per_edge,target_swaps,target_swap_fraction,topology_rejects,length_rejects,crossing_rejects,degree_max_abs_drift,length_bin_tvd,length_mean_ratio,length_median_ratio,stale_index_guard_calls,max_attempts,status,full_connectivity_metrics,notes,original_connected_components,null_connected_components,delta_connected_components,original_bridge_edge_share,null_bridge_edge_share,delta_bridge_edge_share,original_articulation_point_share,null_articulation_point_share,delta_articulation_point_share,original_largest_biconnected_node_fraction,null_largest_biconnected_node_fraction,delta_largest_biconnected_node_fraction,original_cyclomatic_density,null_cyclomatic_density,delta_cyclomatic_density,original_dual_endpoint_degree_mean,null_dual_endpoint_degree_mean,delta_dual_endpoint_degree_mean,original_dual_endpoint_degree_cv,null_dual_endpoint_degree_cv,delta_dual_endpoint_degree_cv,original_angular_entropy,null_angular_entropy,delta_angular_entropy,original_straight_angle_share_10deg,null_straight_angle_share_10deg,delta_straight_angle_share_10deg,original_right_angle_share_10deg,null_right_angle_share_10deg,delta_right_angle_share_10deg,null_mobility_index
Amsterdam,Netherlands,Europe,0,0.005,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.675,0.65,0.7006249999999997,0.20831914289768705,0.02499999999999991,0.8928506264444721,0.10714937355552817,False,7.510496139526367,164,87695,0.0018701180226922858,0.004986772888983489,164,0.005,4158,80307,3066,0,0.0,1.0054119184693526,1.0001775174359,514,147600,pass,True,strict non-crossing degree-preserving geometry-null sensitivity replicate,1.0,4.0,3.0,0.13996411956092072,0.13962964089153768,-0.00033447866938304815,0.17288047928968578,0.17236326020430154,-0.0005172190853842407,0.7542347312615836,0.7545364423947244,0.000301711133140814,0.4175251066764364,0.4176544114477824,0.00012930477134603935,4.285583969349591,4.285583969349591,0.0,0.2733076557178945,0.27327736580685913,-3.0289911035374928e-05,0.829914713800308,0.835087990065983,0.0051732762656749864,0.22979991485738613,0.2267773520647084,-0.0030225627926777354,0.3560380303675323,0.35250461189158505,-0.0035334184759472365,0.0018403809174582944
Amsterdam,Netherlands,Europe,1,0.005,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.675,0.675,0.7,0.20831914289768705,0.02499999999999991,0.8928506264444721,0.10714937355552817,False,5.818459749221802,164,81151,0.0020209239565747803,0.004986772888983489,164,0.005,3885,74191,2911,0,0.0,1.0078015896195298,1.0,498,147600,pass,False,strict non-crossing degree-preserving geometry-null sensitivity replicate,1.0,,,0.13996411956092072,,,0.17288047928968578,,,0.7542347312615836,,,0.4175251066764364,,,4.285583969349591,4.285583969349591,0.0,0.2733076557178945,0.27318647592315054,-0.00012117979474396412,0.829914713800308,0.8352874464969515,0.005372732696643512,0.22979991485738613,0.22694763729246487,-0.002852277564921263,0.3560380303675323,0.35219242230736486,-0.003845608060167427,0.0030176545804330504
Amsterdam,Netherlands,Europe,2,0.005,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.675,0.65,0.7,0.20831914289768705,0.02499999999999991,0.8928506264444721,0.10714937355552817,False,6.459367036819458,164,93104,0.0017614710431345592,0.004986772888983489,164,0.005,4438,85226,3276,0,0.0,1.0065310844206234,1.0003959509270697,521,147600,pass,False,strict non-crossing degree-preserving geometry-null sensitivity replicate,1.0,,,0.13996411956092072,,,0.17288047928968578,,,0.7542347312615836,,,0.4175251066764364,,,4.285583969349591,4.285583969349591,0.0,0.2733076557178945,0.27325313146054825,-5.4524257346255656e-05,0.829914713800308,0.8350649368733996,0.005150223073091542,0.22979991485738613,0.22714630339151412,-0.002653611465872008,0.3560380303675323,0.3519937562083156,-0.00404427415921671,0.002962027174545065
Amsterdam,Netherlands,Europe,0,0.01,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.675,0.675,0.725,0.20831914289768705,0.02499999999999991,0.8928506264444721,0.10714937355552817,False,10.552042007446289,329,154746,0.0021260646478745817,0.010003952929729071,329,0.01,7227,141708,5482,0,0.0,1.0133179134340347,1.0003905620776792,976,296100,pass,True,strict non-crossing degree-preserving geometry-null sensitivity replicate,1.0,8.0,7.0,0.13996411956092072,0.1395080122844893,-0.0004561072764314167,0.17288047928968578,0.17244946338519893,-0.00043101590448685334,0.7542347312615836,0.7543640360329296,0.00012930477134598384,0.4175251066764364,0.4178268178095772,0.000301711133140814,4.285583969349591,4.285583969349591,0.0,0.2733076557178945,0.27335611259434384,4.8456876449332054e-05,0.829914713800308,0.8397672578432787,0.009852544042970646,0.22979991485738613,0.22416631190577552,-0.005633602951610611,0.3560380303675323,0.348786717752235,-0.007251312615297267,0.0033934125088775397
Amsterdam,Netherlands,Europe,1,0.01,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.675,0.65,0.7,0.20831914289768705,0.02499999999999991,0.8928506264444721,0.10714937355552817,False,11.055424928665161,329,170883,0.0019252939145497211,0.010003952929729071,329,0.01,8027,156435,6092,0,0.0,1.0087642382825384,1.0001775174359,996,296100,pass,False,strict non-crossing degree-preserving geometry-null sensitivity replicate,1.0,,,0.13996411956092072,,,0.17288047928968578,,,0.7542347312615836,,,0.4175251066764364,,,4.285583969349591,4.285583969349591,0.0,0.2733076557178945,0.27318647592315054,-0.00012117979474396412,0.829914713800308,0.8406338983611669,0.010719184560858852,0.22979991485738613,0.22357031360862778,-0.0062296012487583485,0.3560380303675323,0.34850290903930753,-0.007535121328224759,0.00612097678446049
Amsterdam,Netherlands,Europe,2,0.01,23201,32887,0.466680857102313,0.7,0.2333191428976869,0.675,0.65,0.7,0.20831914289768705,0.02499999999999991,0.8928506264444721,0.10714937355552817,False,11.214932918548584,329,173360,0.0018977849561605906,0.010003952929729071,329,0.01,8167,158691,6173,0,0.0,1.0118665622332832,1.0006205476586942,1000,296100,pass,False,strict non-crossing degree-preserving geometry-null sensitivity replicate,1.0,,,0.13996411956092072,,,0.17288047928968578,,,0.7542347312615836,,,0.4175251066764364,,,4.285583969349591,4.285583969349591,0.0,0.2733076557178945,0.27342878180746116,0.00012112608956665882,0.829914713800308,0.8398356870618946,0.009920973261586585,0.22979991485738613,0.2242798353909465,-0.00552007946643962,0.3560380303675323,0.3488150986235277,-0.007222931744004568,0.005665996118007693
Dubai,United Arab Emirates,Middle East,0,0.005,15724,22720,0.4908611675236571,0.725,0.2341388324763428,0.725,0.7,0.725,0.23413883247634287,0.0,1.0000000000000004,0.0,False,4.122533321380615,114,51815,0.0022001350960146678,0.005017605633802817,114,0.005,2200,47347,2154,0,0.0,1.0019650474445103,1.001282254108873,363,102600,pass,True,strict non-crossing degree-preserving geometry-null sensitivity replicate,1.0,1.0,0.0,0.065625,0.0658450704225352,0.00022007042253520404,0.08967183922665989,0.09056219791401679,0.0008903586873569014,0.8635207326380056,0.8500381582294582,-0.013482574408547388,0.44498855253116254,0.44498855253116254,0.0,4.074471830985916,4.074471830985916,0.0,0.20909072149047123,0.20907804125140694,-1.2680239064283283e-05,0.9141788196691467,0.9177092043372762,0.0035303846681294937,0.20731970790303764,0.20420861599619755,-0.0031110919068400855,0.2098474700773452,0.20794624724538738,-0.0019012228319578162,0.0033051004179095555
Dubai,United Arab Emirates,Middle East,1,0.005,15724,22720,0.4908611675236571,0.725,0.2341388324763428,0.7,0.675,0.725,0.20913883247634285,0.025000000000000022,0.8932257424554899,0.10677425754451049,False,3.446758508682251,114,46984,0.00242635790907543,0.005017605633802817,114,0.005,2009,42994,1867,0,0.0,1.0031104377624702,1.0,335,102600,pass,False,strict non-crossing degree-preserving geometry-null sensitivity replicate,1.0,,,0.065625,,,0.08967183922665989,,,0.8635207326380056,,,0.44498855253116254,,,4.074471830985916,4.074471830985916,0.0,0.20909072149047123,0.20907804125140694,-1.2680239064283283e-05,0.9141788196691467,0.9174237180796092,0.0032448984104624934,0.20731970790303764,0.20492157455818175,-0.0023981333448558906,0.2098474700773452,0.20755736075703238,-0.0022901093203128164,0.0019832852689078
Dubai,United Arab Emirates,Middle East,2,0.005,15724,22720,0.4908611675236571,0.725,0.2341388324763428,0.7,0.675,0.7,0.20913883247634285,0.025000000000000022,0.8932257424554899,0.10677425754451049,False,3.3435659408569336,114,44986,0.0025341217267594363,0.005017605633802817,114,0.005,1958,41084,1830,0,0.0,1.0026483472050554,1.0005284698101238,330,102600,pass,False,strict non-crossing degree-preserving geometry-null sensitivity replicate,1.0,,,0.065625,,,0.08967183922665989,,,0.8635207326380056,,,0.44498855253116254,,,4.074471830985916,4.074471830985916,0.0,0.20909072149047123,0.20907804125140694,-1.2680239064283283e-05,0.9141788196691467,0.9168730188856039,0.0026941992164571937,0.20731970790303764,0.2053968802661712,-0.0019228276368664365,0.2098474700773452,0.208745625027006,-0.0011018450503391952,0.0014297179759157064
Dubai,United Arab Emirates,Middle East,0,0.01,15724,22720,0.4908611675236571,0.725,0.2341388324763428,0.725,0.7,0.725,0.23413883247634287,0.0,1.0000000000000004,0.0,False,7.9067254066467285,227,116819,0.0019431770516782374,0.009991197183098592,227,0.01,5092,106753,4747,0,0.0,1.0033826383216213,1.001478145657861,713,204300,pass,True,strict non-crossing degree-preserving geometry-null sensitivity replicate,1.0,3.0,2.0,0.065625,0.06566901408450704,4.4014084507035256e-05,0.08967183922665989,0.09018061561943526,0.0005087763927753702,0.8635207326380056,0.8653014500127194,0.0017807173747138583,0.44498855253116254,0.4451157466293564,0.0001271940981938391,4.074471830985916,4.074471830985916,0.0,0.20909072149047123,0.2090399959191606,-5.072557131063915e-05,0.9141788196691467,0.919992936008308,0.0058141163391612904,0.20731970790303764,0.20269627965259474,-0.004623428250442901,0.2098474700773452,0.20677958778032235,-0.0030678822970228448,0.0022627049626604717
